year,importer,exporter,import_in_us_billion,import_spike_next_year,import_dip_next_year,exporter_region,importer_region
1991,Canada,United States of America,82.53,0,0,NORTHERN AMERICA,NORTHERN AMERICA
1992,Canada,United States of America,87.22,0,0,NORTHERN AMERICA,NORTHERN AMERICA
1993,Canada,United States of America,96.53,0,0,NORTHERN AMERICA,NORTHERN AMERICA
1994,Canada,United States of America,109.59,0,0,NORTHERN AMERICA,NORTHERN AMERICA
1995,Canada,United States of America,119.89,0,0,NORTHERN AMERICA,NORTHERN AMERICA
1996,Canada,United States of America,126.09,0,0,NORTHERN AMERICA,NORTHERN AMERICA
1997,Canada,United States of America,145.14,0,0,NORTHERN AMERICA,NORTHERN AMERICA
1998,Canada,United States of America,149.05,0,0,NORTHERN AMERICA,NORTHERN AMERICA
1999,Canada,United States of America,157.85,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2000,Canada,United States of America,169.07,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2001,Canada,United States of America,155.21,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2002,Canada,United States of America,152.97,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2003,Canada,United States of America,159.63,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2004,Canada,United States of America,176.26,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2005,Canada,United States of America,195.36,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2006,Canada,United States of America,211.11,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2007,Canada,United States of America,226.41,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2008,Canada,United States of America,235.48,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2009,Canada,United States of America,180.4,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2010,Canada,United States of America,217.22,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2011,Canada,United States of America,246.22,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2012,Canada,United States of America,257.49,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2013,Canada,United States of America,264.76,0,0,NORTHERN AMERICA,NORTHERN AMERICA
2014,Canada,United States of America,276.16,0,0,NORTHERN AMERICA,NORTHERN AMERICA
1991,Mexico,United States of America,40.55,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1992,Mexico,United States of America,48.71,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1993,Mexico,United States of America,51.2,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1994,Mexico,United States of America,62.71,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1995,Mexico,United States of America,59.39,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1996,Mexico,United States of America,74.39,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1997,Mexico,United States of America,90.4,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1998,Mexico,United States of America,102.58,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1999,Mexico,United States of America,115.79,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
